Date,Symbol,Open,High,Low,Close,Volume From,Volume To,Volume
07-12-17,LTCUSD,100.01,102.48,95.01,97.96,931062.65,91695148.91,90764086.26
08-12-17,LTCUSD,97.96,144.75,95.8,128.97,2349412.62,281521843.8,279172431.2
09-12-17,LTCUSD,128.97,199,128.96,160.95,3304190.9,524122383.7,520818192.8
10-12-17,LTCUSD,160.95,160.95,135.45,150.99,1238640.06,183506272.8,182267632.7
11-12-17,LTCUSD,150.99,235,149.96,218.6,2276153.02,434156552.9,431880399.8
12-12-17,LTCUSD,218.6,420,213.3,352.08,3558810.11,1081618733,1078059923
13-12-17,LTCUSD,352.08,372.55,275,312.89,2166396.91,706974876.1,704808479.2
14-12-17,LTCUSD,312.89,324.62,256.1,283.8,1352786.85,397904281.3,396551494.4
15-12-17,LTCUSD,283.8,322.97,252.22,303.79,1625601.84,473049717.7,471424115.9
16-12-17,LTCUSD,303.79,314.97,280,306.86,754228.33,228354284,227600055.6
17-12-17,LTCUSD,306.86,334.85,303.24,324.74,856739.84,276276206,275419466.2
18-12-17,LTCUSD,324.74,366.9,305.77,359.4,1085218.68,361242906.8,360157688.2
19-12-17,LTCUSD,359.4,380,324.67,350.79,1347219.95,479241084.4,477893864.5
20-12-17,LTCUSD,350.79,350.79,275,305.59,1411721.84,451060113.4,449648391.5
21-12-17,LTCUSD,305.59,327.99,291.01,311,671619.27,207103600,206431980.7
22-12-17,LTCUSD,311,311.89,144,267.79,3042122.91,752324543.4,749282420.5
23-12-17,LTCUSD,267.79,321.85,261,293.03,906938.05,265254796.6,264347858.5
24-12-17,LTCUSD,293.03,295.99,254,278.81,665181.18,183222825.3,182557644.1
25-12-17,LTCUSD,278.81,287.4,271.12,273.52,291443.4,81046685.92,80755242.52
26-12-17,LTCUSD,273.52,286.99,273.17,280.1,354259.87,99320734.15,98966474.28
27-12-17,LTCUSD,280.1,286.46,252.81,264.4,448074.35,120686705.4,120238631.1
28-12-17,LTCUSD,264.4,266,223.59,251.18,703312.71,171876897.9,171173585.2
29-12-17,LTCUSD,251.18,259.5,236.5,245.79,444267.12,110532964.2,110088697.1
30-12-17,LTCUSD,245.79,246,206,216.03,593421.19,134086005,133492583.8
31-12-17,LTCUSD,216.03,237.88,210,227.17,424977.27,95255394.17,94830416.9
01-01-18,LTCUSD,227.17,232.29,217.66,225.22,246251.23,55290393.45,55044142.22
02-01-18,LTCUSD,225.22,262,225.21,253.31,661461.06,163478445.4,162816984.3
03-01-18,LTCUSD,253.31,258.54,240.72,244.99,433466.83,107994282.9,107560816
04-01-18,LTCUSD,244.99,245,226.79,238.91,500544.11,118310542.1,117809998
05-01-18,LTCUSD,238.91,251.97,236.24,246.23,472803.23,115912325.1,115439521.9
06-01-18,LTCUSD,246.23,304,245,279.42,797572.82,223407657.4,222610084.6
07-01-18,LTCUSD,279.42,286.95,265.24,272.06,355270.98,98900360.61,98545089.63
08-01-18,LTCUSD,272.06,273.77,231.42,255.21,554721.79,142102062.6,141547340.8
09-01-18,LTCUSD,255.21,258.75,238.75,246.89,391655.72,98394133.65,98002477.93
10-01-18,LTCUSD,246.89,249.67,232.51,248.8,428753.3,103914498.7,103485745.4
11-01-18,LTCUSD,248.8,253,219.07,226.91,566145,131824249,131258104
12-01-18,LTCUSD,226.91,241.99,220.2,235.52,321677.56,74989189.68,74667512.12
13-01-18,LTCUSD,235.52,263,235.51,258,360949.3,89409593.55,89048644.25
14-01-18,LTCUSD,258,268,233.82,237.89,352485.69,87773772.81,87421287.12
15-01-18,LTCUSD,237.89,244.2,231.11,232.51,208693.2,49681868.74,49473175.54
16-01-18,LTCUSD,232.51,233.21,146.6,193.26,1283937.7,249770265.6,248486327.9
17-01-18,LTCUSD,193.26,216,135,189,1605416.79,277465147.2,275859730.4
18-01-18,LTCUSD,189,211,176.31,192.6,799394.42,156062431.2,155263036.7
19-01-18,LTCUSD,192.6,203,187.1,192.5,390573.96,75645651.27,75255077.31
20-01-18,LTCUSD,192.5,214.88,192.5,210.91,353597.87,72401085.39,72047487.52
21-01-18,LTCUSD,210.91,211.09,183.12,191.25,335920.69,65430274.79,65094354.1
22-01-18,LTCUSD,191.25,194.7,165.5,179.42,440729.94,78563452.42,78122722.48
23-01-18,LTCUSD,179.42,186.03,165.01,178.27,352078.73,62072144.01,61720065.28
24-01-18,LTCUSD,178.27,184.69,172.23,180.6,255362.73,45577119.38,45321756.65
25-01-18,LTCUSD,180.6,184.8,175,178.86,221870.89,39980503.18,39758632.29
26-01-18,LTCUSD,178.86,181.71,166.15,175.71,264755.45,46193883.44,45929127.99
27-01-18,LTCUSD,175.71,182,173.96,179.65,168926.78,30130784.35,29961857.57
28-01-18,LTCUSD,179.65,192.47,178.65,191.12,219997.31,40610728.76,40390731.45
29-01-18,LTCUSD,191.12,191.12,175.56,179.57,196646.32,35648369.32,35451723
30-01-18,LTCUSD,179.57,179.9,158.2,164.25,379801.99,64059921.52,63680119.53
31-01-18,LTCUSD,164.25,166.5,155,161.9,308082.43,49439807.95,49131725.52
01-02-18,LTCUSD,161.9,164.9,125,140.6,745202.67,107062002.7,106316800
02-02-18,LTCUSD,140.6,141.34,100.2,130.69,1192336.87,148138984.7,146946647.8
03-02-18,LTCUSD,130.69,166.6,120.12,160.97,892909.36,130500748,129607838.7
04-02-18,LTCUSD,160.97,175,137,147.5,1095767.35,170853578.5,169757811.2
05-02-18,LTCUSD,147.5,153.87,112,124.98,1261455.6,166640565,165379109.4
06-02-18,LTCUSD,124.98,147.98,103.65,141.5,1735100.58,216160464.5,214425364
07-02-18,LTCUSD,141.5,160,130.6,137.8,950404.56,138616008.8,137665604.3
08-02-18,LTCUSD,137.8,151,136.65,149.1,483516.27,70044546.96,69561030.69
09-02-18,LTCUSD,149.1,164.29,142.09,164.1,510707.03,78073701.49,77562994.46
10-02-18,LTCUSD,164.1,169.49,148.02,155.08,614048.68,98533237.96,97919189.28
11-02-18,LTCUSD,155.08,155.78,142.26,149.26,317060.34,47459528.8,47142468.46
12-02-18,LTCUSD,149.26,163.28,149.18,161.5,338906.31,53478122.15,53139215.84
13-02-18,LTCUSD,161.5,162,153.4,158.91,212235.45,33492356.64,33280121.19
14-02-18,LTCUSD,158.91,219,158.91,211.86,1571663.87,302882839,301311175.1
15-02-18,LTCUSD,211.86,237.72,206.25,221.18,1142993.99,255010922.3,253867928.3
16-02-18,LTCUSD,221.18,234.75,210.55,228.24,607870.32,135615233.2,135007362.9
17-02-18,LTCUSD,228.24,233,225.03,229.9,284652.86,65236998.45,64952345.59
18-02-18,LTCUSD,229.9,232.75,212.45,214.5,480492.42,106751481.2,106270988.7
19-02-18,LTCUSD,214.5,225.96,213.5,222.1,243418.21,53856833.71,53613415.5
20-02-18,LTCUSD,222.1,251.9,221.5,229.5,933095.82,223173332.3,222240236.5
21-02-18,LTCUSD,229.5,231.88,204.71,210.23,749037.26,162405686.3,161656649.1
22-02-18,LTCUSD,210.23,221.49,188.56,192.99,657400.32,132887071.3,132229671
23-02-18,LTCUSD,192.99,215.8,182.55,206.52,671170.22,133564983.2,132893813
24-02-18,LTCUSD,206.52,218.65,194.85,206.15,520443.06,107475961.3,106955518.2
25-02-18,LTCUSD,206.15,223.53,200.35,218.77,453198.89,95986352.47,95533153.58
26-02-18,LTCUSD,218.77,231.5,214.43,218.74,603212.41,134767376.9,134164164.5
27-02-18,LTCUSD,218.74,222.85,212.1,215.15,323337.74,70237096.24,69913758.5
28-02-18,LTCUSD,215.15,223.7,201.4,202.12,359114.51,76358785.38,75999670.87
01-03-18,LTCUSD,202.12,214.88,200.48,209.2,282140.39,58779519.78,58497379.39
02-03-18,LTCUSD,209.2,213.3,204.58,212,214579.97,44711095.52,44496515.55
03-03-18,LTCUSD,212,217.5,209.16,210.4,265163.07,56746943.37,56481780.3
04-03-18,LTCUSD,210.4,214,205.2,212.97,151531.56,31725632.75,31574101.19
05-03-18,LTCUSD,212.97,214.92,209.2,210.71,142219.48,30165126.18,30022906.7
06-03-18,LTCUSD,210.71,210.71,191.34,196.63,376989.01,75867023.31,75490034.3
07-03-18,LTCUSD,196.63,199.35,173.82,186.42,562662.81,104881700.2,104319037.4
08-03-18,LTCUSD,186.42,188.5,174.2,175.79,358219.42,64787817.26,64429597.84
09-03-18,LTCUSD,175.79,190,157.27,186.33,699458.18,121168108.7,120468650.5
10-03-18,LTCUSD,186.33,194.47,176.1,177.67,303334.6,56369486.38,56066151.78
11-03-18,LTCUSD,177.67,192.84,172.3,188.33,313318.19,57660906.94,57347588.75
12-03-18,LTCUSD,188.33,192.89,175,177.89,313292.12,57445532.83,57132240.71
13-03-18,LTCUSD,177.89,182,171.31,175.5,247589.47,43648299.51,43400710.04
14-03-18,LTCUSD,175.5,177.9,157.5,160.69,386277.41,64134271.29,63747993.88
15-03-18,LTCUSD,160.69,167.77,150,164.21,487488.49,77967778.27,77480289.78
16-03-18,LTCUSD,164.21,172,158.56,165.32,299857.78,49646107.57,49346249.79
17-03-18,LTCUSD,165.32,165.48,151.18,152.66,306054.81,48263993.37,47957938.56
18-03-18,LTCUSD,152.66,157.5,137.12,154,604100.79,88340471.24,87736370.45
19-03-18,LTCUSD,154,164,150.47,161.33,419998.88,65892799.18,65472800.3
20-03-18,LTCUSD,161.33,174,155.56,169.17,380506.67,62882845.68,62502339.01
21-03-18,LTCUSD,169.17,175.5,165.14,168.69,329488.93,56338509.61,56009020.68
22-03-18,LTCUSD,168.69,172.5,160.11,163.83,252435.88,41765481,41513045.12
23-03-18,LTCUSD,163.83,168.97,157.06,168.64,229238.69,36957783.29,36728544.6
24-03-18,LTCUSD,168.64,169.5,158.41,159,186835.81,30778989.77,30592153.96
25-03-18,LTCUSD,159,163.08,157.69,160.18,135648.87,21733911.65,21598262.78
26-03-18,LTCUSD,160.18,160.62,142,148.24,348049.84,51915131.35,51567081.51
27-03-18,LTCUSD,148.24,149.48,134.46,134.64,349421.31,49313467.36,48964046.05
28-03-18,LTCUSD,134.64,139.75,130.11,131.7,285865.16,38319337.32,38033472.16
29-03-18,LTCUSD,131.7,132.54,112.11,114.53,697468.02,83612973.79,82915505.77
30-03-18,LTCUSD,114.53,126.91,109.27,118.45,652450.94,76159198.13,75506747.19
31-03-18,LTCUSD,118.45,125.78,115.54,116.28,308160.49,37204383.92,36896223.43
01-04-18,LTCUSD,116.28,118.59,110.01,114.96,248966.61,28412269.3,28163302.69
02-04-18,LTCUSD,114.96,121.62,114.04,119.1,230191.94,27277187.27,27046995.33
03-04-18,LTCUSD,119.1,137.89,118.3,134.12,408212.97,52630413.08,52222200.11
04-04-18,LTCUSD,134.12,135.1,115.5,118.24,429872.44,52739285.65,52309413.21
05-04-18,LTCUSD,118.24,122.87,113.75,118.78,344253.14,40748603.61,40404350.47
06-04-18,LTCUSD,118.78,120.49,112.1,112.93,219048.93,25167538.05,24948489.12
07-04-18,LTCUSD,112.93,119.59,112.68,116.06,189396.1,22209425.72,22020029.62
08-04-18,LTCUSD,116.06,118.39,115.18,117.67,111412.5,13025154.47,12913741.97
